age,fem_pop,5La_radix100000,5La_radix1,5ma
0,40545770,480980,,
5,49214967,478197,,
10,60008823,477083,,
15,49790994,476073,,0.00243
20,46587736,474739,,0.0753
25,57768651,473020,,0.0673
30,60728725,470818,,0.02191
35,50070654,467877,,0.00452
40,39507773,463750,,0.00174
45,40861667,457659,,0.0007
50,29355262,448459,,
55,21998546,434477,,
60,19677355,413240,,
65,17144960,380134,,
70,12851363,328503,,
75,8699510,254160,,
80,4516747,163695,,
85,1733479,79161,,
90,435529,22621,,
95,58279,3946,,
100,3213,531,,
