age_x,female_pop_1000s,fem_births_1000s,nLx_F,nLa
0,3108,,"492,543",4.9254
5,3892,,"490,954",4.9095
10,5765,,"490,025",4.9003
15,5866,89.37,"488,583",4.8858
20,5376,242.34,"488,149",4.8815
25,5028,160.29,"483,136",4.8314
30,4691,74.93,"479,502",4.795
35,5835,27.51,"474,782",4.7478
40,6448,5.66,"468,294",4.6829
45,5963,0.39,"458,850",4.5885
50,4756,,"445,003",4.45
55,3048,,"424,991",4.2499
60,5122,,"397,158",3.9716
65,3676,,"357,240",3.5724
70,4036,,"300,854",3.0085
75,2401,,"227,914",2.2791
80,1196,,"143,548",1.4355
85,843,,"66,788",0.6679
90,259,,"18,449",0.1845
95,48,,"3,741",0.0374
100,3,,307,0.0031
